date,num1,num2,num3,num4,num5,num6,sup1,sup2
10/06/2013,10,17,27,29,30,36,25,33
03/06/2013,1,3,16,32,37,45,26,35
27/05/2013,16,17,22,24,25,32,23,28
20/05/2013,3,15,16,28,33,42,23,27
13/05/2013,5,26,31,35,41,42,11,45
06/05/2013,1,8,18,41,42,44,24,45
29/04/2013,6,23,26,30,32,43,3,16
22/04/2013,3,4,6,10,24,27,21,40
15/04/2013,7,13,32,36,41,45,25,44
08/04/2013,18,28,31,33,41,45,12,21
01/04/2013,9,17,21,32,37,41,24,38
25/03/2013,3,22,23,28,32,42,8,14
18/03/2013,5,16,21,22,27,31,13,28
11/03/2013,9,14,16,18,24,33,1,36
04/03/2013,4,9,23,25,37,45,8,27
25/02/2013,1,7,23,24,28,44,29,41
18/02/2013,7,24,37,39,42,44,25,33
11/02/2013,14,19,20,31,34,42,28,35
04/02/2013,7,15,16,30,31,43,20,42
28/01/2013,8,9,16,21,22,25,11,14
21/01/2013,13,15,16,22,33,42,27,29
14/01/2013,3,5,6,12,21,28,18,32
07/01/2013,13,18,21,32,41,44,20,37
31/12/2012,9,11,14,18,26,33,5,25
24/12/2012,2,13,14,19,22,36,4,40
17/12/2012,7,13,29,35,36,40,6,21
10/12/2012,8,9,10,21,22,27,6,34
03/12/2012,9,13,14,20,26,34,18,23
26/11/2012,16,30,36,37,42,45,24,39
19/11/2012,11,14,19,20,30,41,42,43
12/11/2012,8,10,24,26,43,45,4,15
05/11/2012,1,4,12,33,39,44,8,22
29/10/2012,1,10,13,18,39,43,33,40
22/10/2012,11,21,23,32,37,41,1,26
15/10/2012,18,22,24,25,29,39,14,21
08/10/2012,8,13,14,15,30,37,32,36
01/10/2012,5,7,18,23,43,44,21,27
24/09/2012,9,17,31,32,35,42,16,30
17/09/2012,2,14,18,23,26,41,10,37
10/09/2012,6,20,26,30,37,45,18,41
03/09/2012,4,10,13,22,23,32,40,44
27/08/2012,8,9,16,20,25,27,13,21
20/08/2012,1,2,4,15,23,37,11,39
13/08/2012,4,14,21,27,41,45,5,37
06/08/2012,2,5,10,13,29,45,8,18
30/07/2012,9,13,18,20,40,43,10,34
23/07/2012,1,3,14,22,24,34,4,36
16/07/2012,4,9,13,19,21,38,2,31
09/07/2012,1,7,11,15,19,35,17,23
02/07/2012,12,20,21,28,32,35,38,42
25/06/2012,16,27,32,34,42,44,19,41
18/06/2012,4,12,16,21,34,43,37,44
11/06/2012,13,21,34,40,42,44,7,37
